Divison,District,Upazila,"Lat,long",worker,citizen,Coordinator ,Planner,sensors,centers
,,9. Kaharole Upazila,"25.7947183, 88.6031434",worker77,citizen77,Coordinator77,Planner77,sensor77,center77
,,10. Khansama Upazila,"25.9243343, 88.7308139",worker78,citizen78,Coordinator78,Planner78,sensor78,center78
,,11. Nawabganj Upazila,"23.6611431, 90.1620514",worker79,citizen79,Coordinator79,Planner79,sensor79,center79
,,12. Parbatipur Upazila,"25.6543901, 88.9162387",worker80,citizen80,Coordinator80,Planner80,sensor80,center80
,,13. Phulbari Upazila,"25.4963019, 88.9532744",worker81,citizen81,Coordinator81,Planner81,sensor81,center81
,Gaibandha District,1. Gaibandha Sadar Upazila,"25.3297044, 89.5428879",worker82,citizen82,Coordinator82,Planner82,sensor82,center82
,,2. Gobindaganj Upazila,"25.1363054, 89.3871999",worker83,citizen83,Coordinator83,Planner83,sensor83,center83
,,3. Palashbari Upazila,"25.2810386, 89.35327699999999",worker84,citizen84,Coordinator84,Planner84,sensor84,center84
,,4. Phulchhari Upazila,"25.3198082, 89.5958514",worker85,citizen85,Coordinator85,Planner85,sensor85,center85
,,5. Sadullapur Upazila,"25.3909385, 89.46594619999999",worker86,citizen86,Coordinator86,Planner86,sensor86,center86
,,6. Sughatta Upazila,"25.1221798, 89.5856475",worker87,citizen87,Coordinator87,Planner87,sensor87,center87
,,7. Sundarganj Upazila,"25.5653814, 89.521136",worker88,citizen88,Coordinator88,Planner88,sensor88,center88
,Kurigram District,1. Bhurungamari Upazila,"26.1083682, 89.66989339999999",worker89,citizen89,Coordinator89,Planner89,sensor89,center89
,,2. Char Rajibpur Upazila,"25.44511, 89.7930466",worker90,citizen90,Coordinator90,Planner90,sensor90,center90
,,3. Chilmari Upazila,"25.5810414, 89.66163519999999",worker91,citizen91,Coordinator91,Planner91,sensor91,center91
,,4. Kurigram Sadar Upazila,"25.8281684, 89.68162079999999",worker92,citizen92,Coordinator92,Planner92,sensor92,center92
,,5. Nageshwari Upazila,"25.9659064, 89.6912763",worker93,citizen93,Coordinator93,Planner93,sensor93,center93
,,6. Phulbari Upazila,"25.4963019, 88.9532744",worker94,citizen94,Coordinator94,Planner94,sensor94,center94
,,7. Rajarhat Upazila,"25.7982283, 89.5450458",worker95,citizen95,Coordinator95,Planner95,sensor95,center95
,,8. Raomari Upazila,"25.5916955, 89.83177289999999",worker96,citizen96,Coordinator96,Planner96,sensor96,center96
,,9. Ulipur Upazila,"25.6564202, 89.62045619999999",worker97,citizen97,Coordinator97,Planner97,sensor97,center97
,Lalmonirhat District,1. Aditmari Upazila,"25.927289, 89.3841989",worker98,citizen98,Coordinator98,Planner98,sensor98,center98
,,2. Hatibandha Upazila,"26.1422221, 89.1348697",worker99,citizen99,Coordinator99,Planner99,sensor99,center99
,,3. Kaliganj Upazila,"23.3562518, 89.1515476",worker100,citizen100,Coordinator100,Planner100,sensor100,center100
,,4. Lalmonirhat Sadar Upazila,"25.9188238, 89.4456295",worker101,citizen101,Coordinator101,Planner101,sensor101,center101
,,5. Patgram Upazila,"26.3569512, 89.0083726",worker102,citizen102,Coordinator102,Planner102,sensor102,center102
,Nilphamari District,1. Dimla Upazila,"26.1488689, 88.9196987",worker103,citizen103,Coordinator103,Planner103,sensor103,center103
,,2. Domar Upazila,"26.1015154, 88.82147189999999",worker104,citizen104,Coordinator104,Planner104,sensor104,center104
,,3. Jaldhaka Upazila,"26.0196636, 89.0165912",worker105,citizen105,Coordinator105,Planner105,sensor105,center105
