Divison,District,Upazila,"Lat,long",worker,citizen,Coordinator ,Planner,sensors,centers
,,6. Lakhai Upazila,"24.3106095, 91.30236769999999",worker468,citizen468,Coordinator468,Planner468,sensor468,center468
,,7. Madhabpur Upazila,"24.0998223, 91.2963269",worker469,citizen469,Coordinator469,Planner469,sensor469,center469
,,8. Nabiganj Upazila,"24.5663626, 91.51737279999999",worker470,citizen470,Coordinator470,Planner470,sensor470,center470
,,9. Shayestaganj Upazila,"24.2766967, 91.4555525",worker471,citizen471,Coordinator471,Planner471,sensor471,center471
,Moulvibazar District,1. Barlekha Upazila,"24.707272, 92.19170179999999",worker472,citizen472,Coordinator472,Planner472,sensor472,center472
,,2. Juri Upazila,"24.5971882, 92.1140094",worker473,citizen473,Coordinator473,Planner473,sensor473,center473
,,3. Kamalganj Upazila,"24.3544944, 91.852704",worker474,citizen474,Coordinator474,Planner474,sensor474,center474
,,4. Kulaura Upazila,"24.5225457, 92.0343996",worker475,citizen475,Coordinator475,Planner475,sensor475,center475
,,5. Moulvibazar Sadar Upazila,"24.4843071, 91.7685278",worker476,citizen476,Coordinator476,Planner476,sensor476,center476
,,6. Rajnagar Upazila,"24.5277729, 91.85491689999999",worker477,citizen477,Coordinator477,Planner477,sensor477,center477
,,7. Sreemangal Upazila,"24.3094552, 91.7314423",worker478,citizen478,Coordinator478,Planner478,sensor478,center478
,Sunamganj District,1. Bishwamvarpur Upazila,"25.0987573, 91.299939",worker479,citizen479,Coordinator479,Planner479,sensor479,center479
,,2. Chhatak Upazila,"25.0361323, 91.66441929999999",worker480,citizen480,Coordinator480,Planner480,sensor480,center480
,,3. Shantiganj Upazila,"24.9149748, 91.4580948",worker481,citizen481,Coordinator481,Planner481,sensor481,center481
,,4. Derai Upazila,"24.7880558, 91.35417559999999",worker482,citizen482,Coordinator482,Planner482,sensor482,center482
,,5. Dharamapasha Upazila,"24.8993243, 91.0119509",worker483,citizen483,Coordinator483,Planner483,sensor483,center483
,,6. Dowarabazar Upazila,"25.0482866, 91.55880619999999",worker484,citizen484,Coordinator484,Planner484,sensor484,center484
,,7. Jagannathpur Upazila,"24.7715237, 91.5454018",worker485,citizen485,Coordinator485,Planner485,sensor485,center485
,,8. Jamalganj Upazila,"24.9970758, 91.23370179999999",worker486,citizen486,Coordinator486,Planner486,sensor486,center486
,,9. Sullah Upazila,"24.6704225, 91.2626287",worker487,citizen487,Coordinator487,Planner487,sensor487,center487
,,10. Sunamganj Sadar Upazila,"25.071382, 91.3992751",worker488,citizen488,Coordinator488,Planner488,sensor488,center488
,,11. Tahirpur Upazila,"25.0990489, 91.1755002",worker489,citizen489,Coordinator489,Planner489,sensor489,center489
,,12. Madhyanagar Upazila,Not Found,worker490,citizen490,Coordinator490,Planner490,sensor490,center490
,Sylhet District,1. Balaganj Upazila,"24.6548635, 91.8240007",worker491,citizen491,Coordinator491,Planner491,sensor491,center491
,,2. Beanibazar Upazila,"24.8219613, 92.1585314",worker492,citizen492,Coordinator492,Planner492,sensor492,center492
,,3. Bishwanath Upazila,"24.8132769, 91.7557623",worker493,citizen493,Coordinator493,Planner493,sensor493,center493
,,4. Companiganj Upazila,"22.8736722, 91.27794449999999",worker494,citizen494,Coordinator494,Planner494,sensor494,center494
,,5. Dakshin Surma Upazila,"24.8078774, 91.9128781",worker495,citizen495,Coordinator495,Planner495,sensor495,center495
,,6. Fenchuganj Upazila,"24.69583, 91.944132",worker496,citizen496,Coordinator496,Planner496,sensor496,center496
,,7. Golapganj Upazila,"24.857422, 92.0136994",worker497,citizen497,Coordinator497,Planner497,sensor497,center497
,,8. Gowainghat Upazila,"25.0910204, 91.98233239999999",worker498,citizen498,Coordinator498,Planner498,sensor498,center498
,,9. Jaintiapur Upazila,"25.1349003, 92.1223018",worker499,citizen499,Coordinator499,Planner499,sensor499,center499
,,10. Kanaighat Upazila,"25.0088198, 92.25565429999999",worker500,citizen500,Coordinator500,Planner500,sensor500,center500
,,11. Osmani Nagar Upazila,"24.7190186, 91.74658079999999",worker501,citizen501,Coordinator501,Planner501,sensor501,center501
,,12. Sylhet Sadar Upazila,"24.8950536, 91.8688172",worker502,citizen502,Coordinator502,Planner502,sensor502,center502
,,13. Zakiganj Upazila,"24.8772973, 92.3698184",worker503,citizen503,Coordinator503,Planner503,sensor503,center503
